latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
47.62947,34.32819,322.9,1.12,1.05,2022-06-01,0824,Terra,MODIS,46,6.1NRT,302.7,12.41,D
48.16684,30.61823,326.04,1.62,1.25,2022-06-01,0824,Terra,MODIS,63,6.1NRT,301.7,29.25,D
47.91668,37.5784,317.56,1,1,2022-06-01,0824,Terra,MODIS,17,6.1NRT,301.68,6.64,D
47.93516,37.51553,319.28,1,1,2022-06-01,0824,Terra,MODIS,43,6.1NRT,302.18,6.38,D
49.02805,37.65191,313.33,1,1,2022-06-01,0824,Terra,MODIS,44,6.1NRT,292.95,9.73,D
48.97423,38.08422,334.02,1,1,2022-06-01,0824,Terra,MODIS,86,6.1NRT,304.86,24.09,D
48.97621,38.07082,332.87,1,1,2022-06-01,0824,Terra,MODIS,85,6.1NRT,303.18,22.27,D
51.42099,32.08963,310.95,1.52,1.22,2022-06-01,0824,Terra,MODIS,40,6.1NRT,296.1,12.25,D
49.07003,37.55292,310.77,1,1,2022-06-01,0824,Terra,MODIS,49,6.1NRT,293.39,5.82,D
46.50286,31.7234,317.25,2.79,1.6,2022-06-01,1009,Aqua,MODIS,26,6.1NRT,299.14,30.13,D
50.61162,30.83727,312.77,2.28,1.46,2022-06-01,1011,Aqua,MODIS,50,6.1NRT,292.25,27.49,D
48.97571,38.08502,319.61,1.2,1.09,2022-06-01,1011,Aqua,MODIS,73,6.1NRT,295.96,12.48,D
48.97278,38.06909,340.14,1.21,1.09,2022-06-01,1011,Aqua,MODIS,90,6.1NRT,298.05,47.57,D
49.04061,37.58883,321.58,1.25,1.11,2022-06-01,1011,Aqua,MODIS,76,6.1NRT,294.17,19.56,D
49.05026,37.58462,319.15,1.25,1.11,2022-06-01,1011,Aqua,MODIS,51,6.1NRT,294.02,15.38,D
50.19835,36.83165,324.09,1.27,1.12,2022-06-01,1011,Aqua,MODIS,73,6.1NRT,299.31,23.97,D
50.13012,36.42728,316.38,1.32,1.14,2022-06-01,1011,Aqua,MODIS,50,6.1NRT,299.43,9.19,D
47.63233,34.32613,305.38,1.13,1.06,2022-06-01,2344,Aqua,MODIS,64,6.1NRT,288.18,9.86,N
49.91071,32.52822,316.63,1.28,1.12,2022-06-02,0907,Terra,MODIS,25,6.1NRT,298.05,13.48,D
48.50806,34.80049,319.41,1.75,1.3,2022-06-02,0907,Terra,MODIS,28,6.1NRT,303.27,21.86,D
46.56811,32.74879,339.47,1.56,1.23,2022-06-02,0909,Terra,MODIS,87,6.1NRT,309.64,51.77,D
46.56878,32.75477,340.79,1.56,1.23,2022-06-02,0909,Terra,MODIS,88,6.1NRT,309.03,56.38,D
46.51932,31.74285,328.93,1.01,1,2022-06-02,1053,Aqua,MODIS,67,6.1NRT,307.77,13.41,D
46.51737,31.72997,334.21,1.01,1,2022-06-02,1053,Aqua,MODIS,80,6.1NRT,309.9,20.87,D
47.46072,35.90495,319.88,1.18,1.08,2022-06-02,1053,Aqua,MODIS,23,6.1NRT,305.78,8.93,D
49.02111,38.60996,316.81,1.07,1.03,2022-06-03,0811,Terra,MODIS,33,6.1NRT,300.6,5.25,D
47.62748,34.32838,326.15,1.49,1.2,2022-06-03,0813,Terra,MODIS,61,6.1NRT,295.94,29.65,D
49.22293,25.6393,312.39,2,1.38,2022-06-03,0952,Terra,MODIS,26,6.1NRT,298.03,16.8,D
48.20888,22.24972,321.94,1.47,1.2,2022-06-03,0952,Terra,MODIS,77,6.1NRT,301.88,22.23,D
