latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
51.46958,29.55491,299.83,0.41,0.61,2022-09-01,0117,N,VIIRS,n,2.0NRT,281.22,1.03,N
51.37443,29.53848,307.22,0.42,0.61,2022-09-01,0117,N,VIIRS,n,2.0NRT,282.99,1.1,N
51.37263,29.54399,301.19,0.42,0.61,2022-09-01,0117,N,VIIRS,n,2.0NRT,280.97,1.1,N
51.39173,29.52497,298.71,0.42,0.61,2022-09-01,0117,N,VIIRS,n,2.0NRT,281.91,1.38,N
51.3795,29.54272,296.25,0.42,0.61,2022-09-01,0117,N,VIIRS,n,2.0NRT,283.2,0.85,N
48.80414,30.00369,304.47,0.53,0.67,2022-09-01,0117,N,VIIRS,n,2.0NRT,281.55,0.78,N
48.80677,30.00414,301.49,0.53,0.67,2022-09-01,0117,N,VIIRS,n,2.0NRT,281.55,0.77,N
51.37769,29.54825,302.73,0.42,0.61,2022-09-01,0117,N,VIIRS,n,2.0NRT,282.71,0.85,N
51.41664,30.15592,316.44,0.44,0.62,2022-09-01,0117,N,VIIRS,n,2.0NRT,276.4,2.44,N
48.01362,39.71802,333.24,0.52,0.5,2022-09-01,0924,N,VIIRS,n,2.0NRT,280.89,7.73,D
51.4142,30.15925,335.64,0.49,0.65,2022-09-01,0926,N,VIIRS,n,2.0NRT,290.36,2.69,D
51.41447,30.15309,331.19,0.49,0.65,2022-09-01,0926,N,VIIRS,n,2.0NRT,290.14,3.37,D
47.50449,34.39035,355.95,0.45,0.63,2022-09-01,0926,N,VIIRS,n,2.0NRT,287.84,12.31,D
47.50434,34.3945,355.24,0.45,0.63,2022-09-01,0926,N,VIIRS,n,2.0NRT,288.68,10.89,D
49.67085,37.91405,333.2,0.56,0.51,2022-09-01,0926,N,VIIRS,n,2.0NRT,293.81,4.11,D
48.86846,34.9401,333.32,0.39,0.59,2022-09-01,0926,N,VIIRS,n,2.0NRT,293.61,4.91,D
48.99108,34.8577,341.99,0.39,0.59,2022-09-01,0926,N,VIIRS,n,2.0NRT,297.3,6.36,D
49.94949,35.27307,328.48,0.35,0.57,2022-09-01,0926,N,VIIRS,n,2.0NRT,293.49,1.54,D
50.45531,34.11742,327.88,0.37,0.58,2022-09-01,0926,N,VIIRS,n,2.0NRT,274.39,1.77,D
50.94971,34.18895,330.99,0.36,0.57,2022-09-01,0926,N,VIIRS,n,2.0NRT,297.19,3.13,D
51.72189,31.29347,349.49,0.43,0.62,2022-09-01,0926,N,VIIRS,n,2.0NRT,292.35,12.32,D
51.71999,31.28772,354.83,0.43,0.62,2022-09-01,0926,N,VIIRS,n,2.0NRT,292.12,9.23,D
46.5662,34.61003,343.62,0.46,0.47,2022-09-01,1104,N,VIIRS,n,2.0NRT,297.64,6.35,D
46.39865,29.76365,343.2,0.44,0.39,2022-09-01,1104,N,VIIRS,n,2.0NRT,305.3,5.24,D
46.68122,31.57118,336.63,0.51,0.41,2022-09-01,1104,N,VIIRS,n,2.0NRT,302.32,5.58,D
46.68503,31.57038,341.6,0.51,0.41,2022-09-01,1104,N,VIIRS,n,2.0NRT,300.24,5.58,D
47.6571,37.54512,325.1,0.32,0.55,2022-09-01,1106,N,VIIRS,n,2.0NRT,292.67,3.94,D
47.65689,37.54075,340.14,0.32,0.55,2022-09-01,1106,N,VIIRS,n,2.0NRT,293.29,3.94,D
47.66179,37.53573,367,0.32,0.55,2022-09-01,1106,N,VIIRS,h,2.0NRT,293.16,5.95,D
47.6622,37.54451,336.7,0.32,0.55,2022-09-01,1106,N,VIIRS,n,2.0NRT,292.56,3.94,D
47.66199,37.54013,341.09,0.32,0.55,2022-09-01,1106,N,VIIRS,n,2.0NRT,292.84,3.94,D
47.33424,32.65593,337.99,0.38,0.44,2022-09-01,1106,N,VIIRS,n,2.0NRT,299.85,3.86,D
47.53341,33.14448,341.86,0.41,0.45,2022-09-01,1106,N,VIIRS,n,2.0NRT,298.2,3.45,D
47.24277,29.9747,335.42,0.46,0.39,2022-09-01,1106,N,VIIRS,n,2.0NRT,306.2,5.68,D
47.2421,29.96865,338.7,0.46,0.39,2022-09-01,1106,N,VIIRS,n,2.0NRT,304.3,5.68,D
47.55972,33.18718,336.18,0.41,0.45,2022-09-01,1106,N,VIIRS,n,2.0NRT,297.07,2.52,D
48.15053,29.97636,367,0.47,0.4,2022-09-01,1106,N,VIIRS,h,2.0NRT,302.57,10.54,D
48.72358,37.27121,338.51,0.32,0.55,2022-09-01,1106,N,VIIRS,n,2.0NRT,291.45,2.76,D
48.14983,29.97003,340.87,0.47,0.4,2022-09-01,1106,N,VIIRS,n,2.0NRT,291.63,2.75,D
48.37812,29.24042,331.19,0.45,0.39,2022-09-01,1106,N,VIIRS,n,2.0NRT,297.51,3.39,D
48.76777,30.6649,330.89,0.5,0.41,2022-09-01,1106,N,VIIRS,n,2.0NRT,299.98,7.71,D
47.65669,37.53637,331.62,0.32,0.55,2022-09-01,1106,N,VIIRS,n,2.0NRT,293.19,5.95,D
50.03446,26.30769,336.27,0.4,0.37,2022-09-01,1106,N,VIIRS,n,2.0NRT,293.66,2.96,D
50.41427,29.21247,328.15,0.47,0.4,2022-09-01,1106,N,VIIRS,n,2.0NRT,297.25,2.68,D
51.23033,34.51466,337.24,0.51,0.49,2022-09-01,1106,N,VIIRS,n,2.0NRT,288.52,5.12,D
50.78112,29.04198,331.12,0.47,0.39,2022-09-01,1106,N,VIIRS,n,2.0NRT,295.08,2.26,D
50.78064,29.04217,330.67,0.47,0.39,2022-09-01,1106,N,VIIRS,n,2.0NRT,295.79,5,D
51.41233,30.15695,344.95,0.51,0.41,2022-09-01,1106,N,VIIRS,n,2.0NRT,296.03,8.18,D
51.41614,30.15601,349.29,0.51,0.41,2022-09-01,1106,N,VIIRS,n,2.0NRT,303.92,25.79,D
51.37405,29.55589,329.66,0.49,0.4,2022-09-01,1106,N,VIIRS,n,2.0NRT,291.46,5.31,D
51.37331,29.54883,354.29,0.49,0.4,2022-09-01,1106,N,VIIRS,n,2.0NRT,301.04,12.13,D
51.37256,29.54175,349.6,0.49,0.4,2022-09-01,1106,N,VIIRS,n,2.0NRT,301.01,12.13,D
51.3742,29.556,329.37,0.49,0.4,2022-09-01,1106,N,VIIRS,n,2.0NRT,290.17,9.52,D
51.37348,29.54893,355.86,0.49,0.4,2022-09-01,1106,N,VIIRS,n,2.0NRT,302.13,9.52,D
51.37276,29.54184,352.29,0.49,0.4,2022-09-01,1106,N,VIIRS,n,2.0NRT,302.23,13.1,D
51.3772,29.54795,345.02,0.49,0.4,2022-09-01,1106,N,VIIRS,n,2.0NRT,301.37,13.31,D
51.37648,29.54086,339.14,0.49,0.4,2022-09-01,1106,N,VIIRS,n,2.0NRT,298.26,8.74,D
